symptom_keywords,medicine_name,dosage,home_remedy,side_effects
Treatment of Erectile dysfunction,Alivher Tablet,As directed by physician,,Flushing sense of warmth in the face ears neck and trunk Headache Stiffness Nosebleeds Blurred vision Indigestion Muscle pain Upset stomach Rash
 Abdominal cramp,Anafortan Injection,As directed by physician,,Palpitations Arrhythmia irregular heartbeats Increased heart rate Dry skin Excessive thirst Dryness in mouth Photophobia Reduce bronchial secretion Flushing sense of warmth in the face ears neck and trunk Dilatation of pupil Difficulty in urination Loss of accommodation Constipation
 Plaque psoriasis,Aprezo 30mg Tablet,As directed by physician,,Diarrhea Nausea Vomiting
Treatment of Bacterial infections,Acnesol Gel,As directed by physician,,Application site reactions burning irritation itching and redness Skin rash Stomach pain Nausea Vomiting Diarrhea
Treatment of Hypertension (high blood pressure)Prevention of Angina (heart-related chest pain),Amlopres 5 Tablet,As directed by physician,,Headache Fatigue Nausea Abdominal pain Sleepiness
Treatment of Acne Acute promyelocytic leukaemia,A-Ret 0.025% Gel,As directed by physician,,Erythema skin redness Skin irritation Dry skin Dry lips Pale red skin Increased sensitivity to light
Treatment of Primary biliary cirrhosisTreatment of Gallbladder stones,Actibile 300 Tablet,As directed by physician,,Abdominal pain Diarrhea Hair loss Itching Nausea Rash
Treatment of Dry cough,Alex Syrup Sugar Free,As directed by physician,,Nausea Vomiting Loss of appetite Headache
Treatment of Bacterial infections,Azee 100mg Dry Syrup Peppermint,As directed by physician,,Nausea Abdominal pain Diarrhea
Treatment of Dry cough,Alex-L Cough Syrup Mango,As directed by physician,,Palpitations Dizziness Fainting Fatigue Headache Sleepiness Gastrointestinal disturbance Confusion Numbness
Treatment of Hypertension (high blood pressure)Prevention of Angina (heart-related chest pain),Amtas 5 Tablet,As directed by physician,,Headache Fatigue Nausea Abdominal pain Sleepiness
Treatment of Bacterial infections,Amoxyclav 375 Tablet,As directed by physician,,Vomiting Nausea Diarrhea Mucocutaneous candidiasis
 Hypertension (high blood pressure),Arbitel-Trio 50 Tablet ER,As directed by physician,,Nausea Taste change Constipation Diarrhea Headache Dizziness Weakness Ankle swelling Flushing sense of warmth in the face ears neck and trunk Edema swelling Increased potassium level in blood Slow heart rate Numbness of extremity Cold extremities Decreased blood pressure
Treatment of Bacterial infections,Almox 250 Capsule,As directed by physician,,Nausea Diarrhea Skin rash Vomiting
Treatment of Hypertension (high blood pressure),Amlopres TL Tablet,As directed by physician,,Sleepiness Ankle swelling Headache Flushing sense of warmth in the face ears neck and trunk Dizziness Tiredness Palpitations Upset stomach Increased potassium level in blood
Treatment of Cough with mucus,Asthakind-P Drops,As directed by physician,,Excessive salivation Fatigue Paresthesia tingling or pricking sensation Stomach discomfort Arrhythmia irregular heartbeats Nausea Vomiting Diarrhea Dizziness Headache Rash Tremors Increased heart rate Indigestion Bloating Upper abdominal pain Urticaria Itching Sweating Changes in serum aminotransferase levels
 High cholesterolPrevention of Heart attack,Aztor 20 Tablet,As directed by physician,,Dyspepsia Abdominal pain Indigestion Diarrhea Joint pain Nasopharyngitis inflammation of the throat and nasal passages Nausea Pain in extremities Urinary tract infection Abnormal liver function tests
Treatment of Type 2 diabetes mellitus,Azulix 1 MF Tablet PR,As directed by physician,,Hypoglycemia low blood glucose level Headache Nausea Diarrhea Flatulence
Treatment of Dry eyes,Aqualube Eye Drop,As directed by physician,,Eye irritation Burning eyes Eye discomfort Eye itching Eye pain
Treatment of Respiratory tract disorders associated with viscid mucus,Ambrolite Syrup,As directed by physician,,Vomiting Nausea Upset stomach
Treatment of Prevention of heart attack and stroke,Aztor Asp 75 Capsule,As directed by physician,,Abdominal pain Constipation Flatulence Increased liver enzymes Hepatitis viral infection of liver Reye s syndrome like symptoms
Treatment of Bacterial infections,Acuclav 625 Tablet,As directed by physician,,Vomiting Nausea Diarrhea Mucocutaneous candidiasis
Treatment of Cough with mucus,Ascoril SF Expectorant,As directed by physician,,Nausea Diarrhea Bloating Indigestion Vomiting Stomach pain Sweating Dizziness Headache Skin rash Hives Tremors Increased heart rate
Treatment of Acne,Acutret 20 Capsule,As directed by physician,,Dry skin Increased liver enzymes Rash
Treatment of Acne,Adalene Nanogel Gel,As directed by physician,,Skin peeling Erythema skin redness Itching Dry skin Burning sensation at the site of application
Treatment of Anal fissure,Anorelief Cream,As directed by physician,Anal irritation,
 Heart attack prevention and high cholesterol,Atorfit CV 10 Capsule,As directed by physician,,Stomach pain Diarrhea Indigestion Constipation Headache Dizziness Muscle pain Weakness Increased glucose level in blood Increased liver enzymes
Treatment of Common cold,Allercet Cold Tablet,As directed by physician,,Vomiting Dryness in mouth Headache Sleepiness Fatigue Constipation Diarrhea
Treatment of Diarrhea,AD 100mg Capsule,As directed by physician,,Vomiting Dizziness General discomfort Headache
 Diabetes,Actrapid HM 100IU/ml Penfill,As directed by physician,,Hypoglycemia low blood glucose level Weight gain Injection site reactions pain swelling redness Cold sweat Anxiety Shakiness Hunger pangs Fast heart rate Headache Nervousness
 Schizophrenia Mania,Arpizol 5 Tablet,As directed by physician,,Akathisia inability to stay still Anxiety Blurred vision Constipation Dizziness Fatigue Headache Increased saliva production Indigestion Insomnia difficulty in sleeping Nausea Parkinsonism Restlessness Sleepiness Tremors Vomiting
Treatment of GoutTreatment of Kidney stone,Alkacip Syrup 100ml for Kidney &amp; Gout Stone,As directed by physician,,Stomach pain Tiredness Diarrhea Nausea Vomiting Frequent urge to urinate
Treatment of Type 2 diabetes mellitus,Azulix 2 MF Tablet PR,As directed by physician,,Hypoglycemia low blood glucose level Headache Nausea Diarrhea Flatulence
Treatment of Bacterial infections,Azilide 500 Tablet,As directed by physician,,Nausea Abdominal pain Diarrhea
 High cholesterolPrevention of Heart attack,Atorlip 10 Tablet,As directed by physician,,Dyspepsia Abdominal pain Indigestion Diarrhea Joint pain Nasopharyngitis inflammation of the throat and nasal passages Nausea Pain in extremities Urinary tract infection Abnormal liver function tests
 Bacterial infections,Augpen LB 625 Tablet,As directed by physician,,Nausea Diarrhea Vomiting Flatulence Rash Allergic reaction
 Pain relief,Aceclo Sera 100mg/325mg/15mg Tablet,As directed by physician,,Nausea Vomiting Stomach pain Indigestion Heartburn Loss of appetite Diarrhea
Treatment of Type 2 diabetes mellitus,Amaryl MV 2mg Tablet SR,As directed by physician,,Nausea Diarrhea Abdominal pain Hypoglycemia low blood glucose level
 Herpes Simplex Virus Infections Chickenpox Herpes labialis Shingles Genital herpes infection,Acivir 200 DT Tablet,As directed by physician,,Headache Dizziness Vomiting Nausea Fatigue Fever Stomach pain Diarrhea Skin rash Photophobia
Treatment of Hypertension (high blood pressure),Amlip AT Tablet,As directed by physician,,Sleepiness Headache Ankle swelling Flushing sense of warmth in the face ears neck and trunk Slow heart rate Palpitations Nausea Edema swelling Constipation Tiredness Cold extremities
Treatment and prevention of Blood clots,Acitrom 3 Tablet,As directed by physician,Hemorrhage,
 High cholesterolPrevention of Heart attack,Avas 10 Tablet,As directed by physician,,Dyspepsia Abdominal pain Indigestion Diarrhea Joint pain Nasopharyngitis inflammation of the throat and nasal passages Nausea Pain in extremities Urinary tract infection Abnormal liver function tests
Treatment of Sneezing and runny nose due to allergiesTreatment of Allergic conditions,Air 180 Tablet,As directed by physician,,Headache Drowsiness Dizziness Nausea
 Fatigue Alzheimer's disease,Arcalion Tablet,As directed by physician,,Skin rash Anxiety Headache
Treatment and prevention of Blood clots,Apigat 2.5 Tablet,As directed by physician,,Anemia low number of red blood cells Blood in urine Bruise Nausea Nosebleeds Hematoma
Treatment of Dry eyes,Aquasurge  Eye Drop,As directed by physician,,Eye irritation Burning eyes Eye discomfort Eye itching Eye pain
Treatment of Abdominal pain,Aceclo Spas Tablet,As directed by physician,,Diarrhea Nausea Vomiting Dryness in mouth Dizziness Vertigo Insomnia difficulty in sleeping Hypotension low blood pressure Fast heart rate Sweating Constipation Indigestion Abdominal pain Increased liver enzymes
Treatment of Bacterial eye infections,Apdrops KT 0.4 Eye Drops BAK Free,As directed by physician,,Conjunctivitis Reduced visual acuity Dry eye Eye discomfort Ocular hyperemia Eye pain Eye twitching Subconjunctival hemorrhage Transient stinging Transient burning Allergic reaction Corneal edema Iritis inflammation of the middle layer of the eye Eye inflammation Superficial keratitis Eye infection Fever Cough Infection Otitis media infection of ear Sore throat Rash Inflammation of the nose Taste change
Treatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Peptic ulcer disease,Aciloc Injection,As directed by physician,,Headache Diarrhea Gastrointestinal disturbance
 Fungal skin infections,Arcolane 2% Scalp Solution,As directed by physician,,Skin peeling Application site reactions burning irritation itching and redness Nausea Vomiting Abdominal pain Increased liver enzymes Application site redness Itching Diarrhea Abnormal liver function tests Adrenal insufficiency Application site burning
 Neuropathic pain,Amnurite  10 Tablet SR,As directed by physician,,Constipation Difficulty in urination Weight gain Dryness in mouth Orthostatic hypotension sudden lowering of blood pressure on standing Drowsiness Blurred vision Increased heart rate
Treatment of Resistant Tuberculosis (TB)Treatment of Bacterial infections,Augpen -DS Suspension,As directed by physician,,Abdominal pain Allergy Vomiting Nausea Diarrhea Mucocutaneous candidiasis
Treatment of Chronic obstructive pulmonary disease (COPD)Treatment and prevention of Asthma,Asthalin Respirator Solution,As directed by physician,,Tremors Headache Palpitations Increased heart rate Muscle cramp Respiratory tract inflammation Respiratory tract infection Cough
Treatment of High cholesterolPrevention of Heart attack,Atchol-F Tablet,As directed by physician,,Nausea Stomach pain Constipation Flatulence Headache Muscle pain Increased liver enzymes Increased glucose level in blood
Treatment of Cough with mucus,Asthalin AX Syrup,As directed by physician,,Nausea Vomiting Diarrhea Upset stomach Stomach pain Allergic reaction Dizziness Headache Rash Hives Tremors Palpitations Muscle cramp Increased heart rate
 Osteoporosis,Alensol-D Tablet,As directed by physician,,Headache Musculoskeletal bone muscle or joint pain Back pain Indigestion Diarrhea Heartburn
 High cholesterolPrevention of Heart attack,Atorva 80 Tablet,As directed by physician,,Dyspepsia Abdominal pain Indigestion Diarrhea Joint pain Nasopharyngitis inflammation of the throat and nasal passages Nausea Pain in extremities Urinary tract infection Abnormal liver function tests
 Dry eyes,Artificial Tears BP Eye Drop,As directed by physician,,Blurred vision Eye irritation Eye pain Eye redness Foreign body sensation in eyes
Treatment of Bacterial infections,Alciflox 500mg Tablet,As directed by physician,,Headache Dizziness Gastrointestinal disorder Joint pain Urticaria
Treatment of Depression Neuropathic painTreatment of Migraine,Amitop 10 Tablet,As directed by physician,,Constipation Dryness in mouth Orthostatic hypotension sudden lowering of blood pressure on standing Weight gain Aggressive behavior Nasal congestion stuffy nose Sleepiness Dizziness Headache Decreased libido Nausea Fatigue Confusion Tremors Speech disorder Palpitations Taste change Paresthesia tingling or pricking sensation Abnormality of voluntary movements Loss of accommodation Atrioventricular block Micturition disorders Erectile dysfunction Abnormal E C G Decreased sodium level in blood
 Skin conditions with inflammation & itching,Atonide Gel,As directed by physician,,Application site reactions burning irritation itching and redness Rash
Treatment of Dry cough,Ambrodil-D Syrup,As directed by physician,Upset stomach Sleepiness,
Treatment of Allergic conditions,Allercet Tablet,As directed by physician,,Sleepiness Fatigue Vomiting Dryness in mouth Headache Constipation
 Diabetes,Apidra 100IU Cartridge,As directed by physician,,Hypoglycemia low blood glucose level Allergic reaction Injection site reactions pain swelling redness Lipodystrophy skin thickening or pits at the injection site Itching Rash Upper respiratory tract infection
Treatment of Dry eyes,Aquim PF Eye Drop,As directed by physician,Limited data available,
Treatment of Allergic eye disease,Andre Plus Eye Drops,As directed by physician,Eye irritation Burning eyes Stinging in the eyes Blurred vision,
 Alcohol addiction,Acamprol Tablet,As directed by physician,,Diarrhea Abdominal pain Nausea Vomiting Decreased libido Itching Flatulence Impotence
Treatment of Depression Neuropathic painTreatment of Migraine,Amitryn 10 Tablet,As directed by physician,,Constipation Dryness in mouth Orthostatic hypotension sudden lowering of blood pressure on standing Weight gain Aggressive behavior Nasal congestion stuffy nose Sleepiness Dizziness Headache Decreased libido Nausea Fatigue Confusion Tremors Speech disorder Palpitations Taste change Paresthesia tingling or pricking sensation Abnormality of voluntary movements Loss of accommodation Atrioventricular block Micturition disorders Erectile dysfunction Abnormal E C G Decreased sodium level in blood
